date,symbol,strategy,entry_price,exit_price,qty,net_pnl,exit_reason
2026-01-02,BNAI,ROD_C,3.753014,3.5653632999999996,2726,-511.54,SL
2026-01-05,MNTS,ROD_C,8.646666666666667,8.214333333333332,1133,-489.83,SL
2026-01-05,VRME,ROD_C,1.0360531914893618,0.9842505319148936,8995,-465.96,SL
2026-01-05,UFG,ROD_C,0.9653071428571429,1.0618378571428573,9181,886.25,TP
2026-01-05,LHSW,ROD_C,0.8340363636363637,0.9174400000000001,11668,973.15,TP
2026-01-05,TMDE,ROD_C,1.160429268292683,1.2764721951219513,9208,1068.52,TP
2024-10-15,NIVF,ATOM_SUP_EMA5,7410.342228199307,8151.376451019239,1,741.03,TP
2024-11-01,NMHI,ATOM_SUP_EMA5,4.532651902175243,4.170039750001224,2162,-783.97,SL
2024-11-06,TMQ,ATOM_SUP_EMA5,0.888473241348043,0.8173953820401996,11030,-783.99,SL
2024-11-07,NMHI,ATOM_SUP_EMA5,5.504177055681705,5.063842891227169,1780,-783.79,SL
2024-11-08,NMHI,ATOM_SUP_EMA5,8.881273586343548,8.170771699436065,1103,-783.68,SL
2024-11-08,AZI,ATOM_SUP_EMA5,118.12042101759778,129.93246311935758,76,897.72,TP
2024-11-11,CERO,ATOM_SUP_EMA5,263.05135981007277,289.3564957910801,37,973.29,TP
2024-11-12,CERO,ATOM_SUP_EMA5,559.2290783702203,615.1519862072424,17,950.69,TP
2024-11-12,KAPA,ATOM_SUP_EMA5,2.00204802517608,2.2022528276936884,5360,1073.1,TP
2024-11-13,NMHI,ATOM_SUP_EMA5,5.064809167719707,4.65962443430213,1934,-783.63,SL
2024-11-15,CERO,ATOM_SUP_EMA5,451.03497637150906,496.13847400866,21,947.17,TP
2024-11-18,NIVF,ATOM_SUP_EMA5,6674.782807498857,7342.261088248743,1,667.48,TP
2024-11-19,PRFX,ATOM_SUP_EMA5,3.536955785959192,3.2539993230824567,2770,-783.79,SL
2024-11-22,AMPG,ATOM_SUP_EMA5,1.2018524658720613,1.2,8154,-15.11,EOD
2024-11-29,PRFX,ATOM_SUP_EMA5,3.9331882834157494,3.61853322074249,2491,-783.81,SL
2024-11-29,JCSE,ATOM_SUP_EMA5,1.907812810582206,2.0985940916404267,4734,903.16,TP
2024-12-02,EHGO,ATOM_SUP_EMA5,5.474771751966391,5.03679001180908,1790,-783.99,SL
2024-12-02,PPBT,ATOM_SUP_EMA5,5.994316584531491,6.593748242984641,1506,902.74,TP
2024-12-02,SNTI,ATOM_SUP_EMA5,3.741086365323758,4.115195001856134,2650,991.39,TP
2024-12-02,FGL,ATOM_SUP_EMA5,3.800656823255191,4.180722505580711,2864,1088.51,TP
2024-12-03,CTNT,ATOM_SUP_EMA5,3.2523417245797184,3.5775758970376903,3013,979.93,TP
2024-12-04,SVMH,ATOM_SUP_EMA5,3.0097669573165033,2.7689856007311833,3256,-783.98,SL
